period,n_obs,omega,alpha,gamma_asym,beta,persistence,unconditional_var_pct2,ljung_box_resid_p,ljung_box_resid_sq_p
весь период,3384,0.032884333967131495,0.27616430621455546,-0.15139230256030178,0.7861193405886013,0.9865874955230058,2.451766858571153,0.18405927733572108,0.45224059732796884
до 28.02.2022,2252,0.013218887954407942,0.16025574412074958,-0.11951210275583782,0.8870650217783936,0.9875647145212243,1.0630144339645178,0.6209666670953429,0.6288235216023377
после 28.02.2022,1132,0.1227073441282344,0.47697089541762006,-0.0949792141198736,0.5705187116423167,0.9999999999999999,,0.6006565984830932,6.083539839194123e-08
