n_events,pre_proxy_abs_return_pct,post_proxy_abs_return_pct,baseline_30obs_before_window_pct,pre_window_obs,post_window_obs,subset
65,0.838219168057831,1.065813938665849,0.8371386986405047,5,6,все события
46,0.5683218097861547,0.5695091757568843,0.5688791503369574,5,6,без 2014/2015/2022 (кризисные годы)
