window_end,rate_to_fx_p,fx_to_rate_p,rate_to_fx_p_neutralized,fx_to_rate_p_neutralized
2018-09-30,0.05536252687584797,0.060500221307848275,0.45588591715155813,0.002872426337874611
2018-10-31,0.05834748048150393,0.06410153949071502,0.42886959226089727,0.0034012384507171763
2018-11-30,0.062132795262553386,0.06427541957073109,0.43900170938227456,0.0033719294916058017
2018-12-31,0.06253036442907708,0.09696424982351091,0.42232773591553774,0.0033293654617492737
2019-01-31,0.05915192758595791,0.09134014871943016,0.4194703182549696,0.006232219208821796
2019-02-28,0.06014408329063726,0.08200446897481824,0.43483326953271273,0.00701110963579027
2019-03-31,0.060894271501759356,0.0743110083198081,0.4430055665111917,0.0070729104467242695
2019-04-30,0.060779772584167224,0.06805961362096162,0.43459455270653014,0.0019107371207561258
2019-05-31,0.06454288745136594,0.0680300275871722,0.38521536632083614,0.0020397761218364815
2019-06-30,0.061321310263455865,0.06904120287994966,0.23655296877480242,0.0024858888108735683
2019-07-31,0.0542037502682756,0.06279710029232655,0.16775688503947847,0.001999926477694589
2019-08-31,0.031604144119617934,0.08595171124000761,0.1538477269659179,0.0036887994546110307
2019-09-30,0.042324128963105244,0.19229140651916063,0.15196276935008438,0.003335189210230226
2019-10-31,0.8397197115252923,0.04896763006767656,0.14674708001361603,0.0042322508063553
2019-11-30,0.9205399057008509,0.009057288100634933,0.16051182423920163,0.004047807784554731
2019-12-31,0.9549167537017101,0.0032569402173436668,0.17121619988649295,0.0037244319290609686
2020-01-31,0.1620959267806493,0.003208799171885899,0.1620959267806493,0.003208799171885899
2020-02-29,0.041918829992541096,0.2858036897816333,0.041918829992541096,0.2858036897816333
2020-03-31,0.0663893541550812,0.8698291222937556,0.0663893541550812,0.8698291222937556
2020-04-30,0.03837085479067337,0.80098414541266,0.03837085479067337,0.80098414541266
2020-05-31,0.7176180781329377,0.5678972979876099,0.7176180781329377,0.5678972979876099
2020-06-30,0.7660482407097285,0.07881750356320921,0.7660482407097285,0.07881750356320921
2020-07-31,0.5147253061803585,0.21679223478017368,0.5147253061803585,0.21679223478017368
2020-08-31,0.42330030815050185,0.23316728247441848,0.42330030815050185,0.23316728247441848
2020-09-30,0.36494164879296137,0.16933116946233756,0.36494164879296137,0.16933116946233756
2020-10-31,0.22361830991260753,0.15311136028810063,0.22361830991260753,0.15311136028810063
2020-11-30,0.23408425573151398,0.1478027149743247,0.23408425573151398,0.1478027149743247
2020-12-31,0.21841950621235376,0.22595294417832346,0.21841950621235376,0.22595294417832346
2021-01-31,0.26729604716997624,0.27139250714854,0.26729604716997624,0.27139250714854
2021-02-28,0.2907873924893224,0.2605015373661339,0.2907873924893224,0.2605015373661339
2021-03-31,0.3375704760048539,0.4318869132610244,0.3375704760048539,0.4318869132610244
2021-04-30,0.38795922294109103,0.35603952019575086,0.38795922294109103,0.35603952019575086
2021-05-31,0.21703632589015354,0.374425759692261,0.21703632589015354,0.374425759692261
2021-06-30,0.22704289967628322,0.4756871917089679,0.22704289967628322,0.4756871917089679
2021-07-31,0.2405265963994519,0.3837085515487962,0.2405265963994519,0.3837085515487962
