horizon,response_per_pp,ci_lo,ci_hi,cum_response_per_pp,cum_ci_lo,cum_ci_hi
0,0.008065528321246535,0.0023828586055299897,0.01940899873882664,0.008065528321246535,0.0023828586055299897,0.01940899873882664
1,0.023187377082412773,0.016473624159186694,0.03091125409467099,0.03125290540365931,0.018856482764716683,0.05032025283349763
2,-0.008341929099212657,-0.01621496534546768,-0.0010779758678040516,0.022910976304446655,0.002641517419249003,0.049242276965693575
3,-0.00875379012682308,-0.014485359604719354,-0.002796151078596507,0.014157186177623574,-0.011843842185470351,0.04644612588709707
4,-0.006106992213843821,-0.009972258980225036,-0.002551174727452207,0.008050193963779755,-0.021816101165695385,0.04389495115964486
5,-6.387717149385767e-05,-0.0026036047022730785,0.00334271592093188,0.007986316792285897,-0.024419705867968464,0.047237667080576744
6,0.0015385818697354172,-0.0011551458047430263,0.00475460799308619,0.009524898662021313,-0.02557485167271149,0.051992275073662934
7,0.001350047309522564,5.240845963003325e-05,0.0032274807596297094,0.010874945971543877,-0.025522443213081458,0.055219755833292646
8,0.000426568313992563,-0.0009429439917855795,0.0017341963584948095,0.01130151428553644,-0.026465387204867036,0.056953952191787456
9,-9.023090880110166e-05,-0.0014777768430713114,0.0007308115713460043,0.011211283376735338,-0.027943164047938347,0.05768476376313346
10,-0.0002480158571538954,-0.0010625613955016725,0.0002110132129438635,0.010963267519581443,-0.02900572544344002,0.057895776976077326
11,-0.00016994551723983935,-0.0007351769385355313,0.00035111276560224165,0.010793322002341604,-0.02974090238197555,0.05824688974167957
12,-4.798039428481183e-05,-0.00046128332677827387,0.000472091344732645,0.010745341608056791,-0.030202185708753826,0.058718981086412214
