n_events,n_years,observed_abnormal_abs_return_pct,placebo_abnormal_mean,placebo_abnormal_p95,p_value,subset
65,13,0.12522307156715445,-0.021054089018904192,0.07425696498046501,0.009,"все события (плацебо по годам, аномальная |r|)"
46,10,9.03136150497974e-05,-0.003444946732340776,0.07615477755309549,0.457,без 2014/2015/2022 (кризисные годы)
