regime,h,n,target_min,target_max,rmse_naive,mae_naive,rmse_var2_no_rate,mae_var2_no_rate,rmse_var3_with_rate,mae_var3_with_rate
вся OOS-выборка,1,118,2016-11-30,2026-08-31,0.05476575700420397,0.03270759357335381,0.06943476393865838,0.03651688763153944,0.05413125208499322,0.034410293146347096
вся OOS-выборка,2,117,2016-12-31,2026-08-31,0.0549439283700245,0.032759039050868376,0.06013174913142962,0.036118052775497914,0.06106613632557098,0.03817438043152075
вся OOS-выборка,3,116,2017-01-31,2026-08-31,0.055083554977299935,0.03273827626521653,0.05701747781899383,0.03564545739709,0.05686003999659642,0.03636156337902889
"кризисные цели, доступный год: 2022",1,12,2022-01-31,2022-12-31,0.1383864846514487,0.09164263705106324,0.19162636774663278,0.1161990732935841,0.12741423191696566,0.07569946201701235
"кризисные цели, доступный год: 2022",2,12,2022-01-31,2022-12-31,0.1383864846514487,0.09164263705106324,0.15163802476700097,0.09533980638248289,0.15277906661741497,0.1090672652751477
"кризисные цели, доступный год: 2022",3,12,2022-01-31,2022-12-31,0.1383864846514487,0.09164263705106324,0.1407850232729718,0.09262885858922577,0.1396930410685744,0.09881232013193125
остальные годы OOS-выборки,1,106,2016-11-30,2026-08-31,0.034217143851907675,0.026035701858896136,0.03478397246814007,0.027496262839609854,0.03773668344785563,0.02973604761381895
остальные годы OOS-выборки,2,105,2016-12-31,2026-08-31,0.034280897966127835,0.026029484993703254,0.03743218655864873,0.029349852363271076,0.03857018627964999,0.030072336449391963
остальные годы OOS-выборки,3,104,2017-01-31,2026-08-31,0.034272261399104685,0.025941619251464987,0.03659419993682821,0.02907044956722817,0.036803231011516106,0.02915570683061707
