spec,aic,bic,loglik
"t, AR(1)-mean, GJR",8201.102310079616,8243.98793726108,-4093.5511550398073
"t, AR(1)-mean",8226.5942709018,8263.353379914484,-4107.2971354509
"t, const-mean",8256.74315968359,8287.377228287221,-4123.371579841795
"Normal, const-mean",8543.656213953062,8568.163468835966,-4267.828106976531
