effective_date,key_rate,change_pp,fx_proxy_date,matched_official_fx_record,date_definition,announcement_date_verified
2022-05-27,11.0,-3.0,2022-05-28,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2022-06-14,9.5,-1.5,2022-06-15,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2022-07-25,8.0,-1.5,2022-07-26,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2022-09-19,7.5,-0.5,2022-09-20,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2023-07-24,8.5,1.0,2023-07-25,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2023-08-15,12.0,3.5,2023-08-16,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2023-09-18,13.0,1.0,2023-09-19,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2023-10-30,15.0,2.0,2023-10-31,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2023-12-18,16.0,1.0,2023-12-19,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2024-07-29,18.0,2.0,2024-07-30,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2024-09-16,19.0,1.0,2024-09-17,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2024-10-28,21.0,2.0,2024-10-29,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2025-06-09,20.0,-1.0,2025-06-10,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2025-07-28,18.0,-2.0,2025-07-29,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2025-09-15,17.0,-1.0,2025-09-16,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2025-10-27,16.5,-0.5,2025-10-28,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2025-12-22,16.0,-0.5,2025-12-23,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2026-02-16,15.5,-0.5,2026-02-17,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2026-03-23,15.0,-0.5,2026-03-24,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2026-04-27,14.5,-0.5,2026-04-28,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2026-06-22,14.25,-0.25,2026-06-23,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2026-07-27,14.0,-0.25,2026-07-28,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
